player,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Jordan Veretout,MF,France,29-289,1993,0.7,33,36,91.7,609,139,13,15,86.7,16,16,100.0,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,1
Jordi Alba,DF,Spain,33-269,1989,2.9,328,372,88.2,5403,1384,160,174,92.0,144,157,91.7,20,28,71.4,2,0.9,0.7,+1.1,5,33,7,2,23
Jorge Eduardo Sánchez,DF,Mexico,25-005,1997,1.9,69,87,79.3,1119,484,36,39,92.3,27,37,73.0,6,8,75.0,0,0.0,0.0,0.0,0,4,1,0,9
Josh Sargent,FW,United States,22-298,2000,1.7,29,33,87.9,321,35,18,19,94.7,7,7,100.0,0,1,0.0,0,0.1,0.1,-0.1,1,1,1,0,1
Joshua Kimmich,MF,Germany,27-310,1995,3.0,226,267,84.6,4179,1228,104,110,94.5,87,94,92.6,29,50,58.0,0,1.1,1.5,-1.1,9,26,9,2,22
Josip Juranović,DF,Croatia,27-121,1995,6.7,318,405,78.5,4928,1748,183,195,93.8,101,133,75.9,24,47,51.1,1,0.3,0.3,+0.7,7,24,6,4,21
José Cifuentes,MF,Ecuador,23-278,1999,0.7,33,44,75.0,447,115,22,24,91.7,10,13,76.9,0,3,0.0,0,0.0,0.0,0.0,0,2,0,0,1
José María Giménez,DF,Uruguay,27-329,1995,3.0,141,174,81.0,2792,1084,50,59,84.7,71,81,87.7,17,29,58.6,0,0.0,0.3,0.0,0,11,2,0,10
João Cancelo,DF,Portugal,28-202,1994,3.4,221,271,81.5,3800,864,123,138,89.1,72,87,82.8,24,35,68.6,0,0.0,0.2,0.0,0,10,6,5,12
João Félix,FW,Portugal,23-035,1999,3.7,91,122,74.6,1335,254,55,69,79.7,30,37,81.1,5,9,55.6,2,0.4,0.2,+1.6,3,7,3,0,7
João Mário,FW,Portugal,29-330,1993,0.9,37,40,92.5,516,92,22,23,95.7,9,10,90.0,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,2
João Palhinha,MF,Portugal,27-159,1995,0.4,26,31,83.9,442,125,11,11,100.0,11,13,84.6,3,6,50.0,0,0.1,0.0,-0.1,2,1,0,0,1
Joško Gvardiol,DF,Croatia,20-326,2002,6.7,404,453,89.2,7299,2666,168,176,95.5,198,216,91.7,33,49,67.3,0,0.0,0.3,0.0,1,23,1,0,14
Juan Foyth,DF,Argentina,24-337,1998,0.1,3,4,75.0,31,13,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Juan Pablo Vargas,DF,Costa Rica,27-192,1995,1.0,19,24,79.2,368,223,9,10,90.0,8,9,88.9,2,5,40.0,0,0.0,0.0,0.0,0,0,0,0,0
Jude Bellingham,MF,England,19-169,2003,4.6,235,265,88.7,3972,726,111,121,91.7,101,109,92.7,20,24,83.3,1,0.3,0.5,+0.7,4,18,4,0,14
Jules Koundé,DF,France,24-033,1998,4.0,199,242,82.2,3218,1049,100,106,94.3,81,100,81.0,15,21,71.4,0,0.1,0.0,-0.1,1,19,0,0,4
Julián Álvarez,FW,Argentina,22-318,2000,4.0,66,88,75.0,781,98,45,53,84.9,8,14,57.1,4,5,80.0,0,0.1,0.7,-0.1,1,1,2,1,2
Jung Woo-young,MF,Korea Republic,33-001,1989,3.4,178,211,84.4,3599,1019,67,75,89.3,78,88,88.6,31,42,73.8,0,0.1,0.1,-0.1,2,25,2,0,14
Junior Hoilett,FW,Canada,32-193,1990,1.8,43,59,72.9,743,324,23,26,88.5,10,14,71.4,7,13,53.8,0,0.4,0.4,-0.4,4,3,6,3,6
Junya Ito,MF,Japan,29-281,1993,3.6,59,97,60.8,752,288,40,52,76.9,16,22,72.7,1,12,8.3,1,0.2,0.1,+0.8,5,2,2,1,5
Jurriën Timber,DF,Netherlands,21-181,2001,4.3,283,313,90.4,4444,1337,144,151,95.4,116,126,92.1,18,29,62.1,0,0.0,0.1,0.0,0,32,0,0,15
Kai Havertz,FW,Germany,23-187,1999,1.1,27,34,79.4,388,89,12,14,85.7,10,10,100.0,2,2,100.0,0,0.2,0.5,-0.2,2,2,3,1,4
Kalidou Koulibaly,DF,Senegal,31-178,1991,4.0,156,205,76.1,3196,1327,49,52,94.2,80,88,90.9,23,55,41.8,0,0.0,0.0,0.0,1,12,0,0,9
Kalvin Phillips,MF,England,27-013,1995,0.5,17,19,89.5,363,97,4,4,100.0,9,10,90.0,3,3,100.0,1,0.1,0.0,+0.9,1,2,0,0,1
Kamal Miller,DF,Canada,25-213,1997,3.0,186,205,90.7,3184,1385,83,86,96.5,84,89,94.4,15,23,65.2,0,0.0,0.0,0.0,0,21,0,0,10
Kamaldeen Sulemana,FW,Ghana,20-303,2002,0.6,10,19,52.6,124,31,8,10,80.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1
Kamil Glik,DF,Poland,34-315,1988,4.0,118,130,90.8,2363,657,29,29,100.0,76,81,93.8,12,19,63.2,0,0.0,0.0,0.0,0,2,0,0,1
Kamil Grosicki,MF,Poland,34-190,1988,0.0,4,6,66.7,61,30,3,3,100.0,0,1,0.0,1,1,100.0,0,0.1,0.1,-0.1,1,0,1,1,0
Kaoru Mitoma,MF,Japan,25-209,1997,1.8,50,70,71.4,723,150,31,39,79.5,13,18,72.2,4,8,50.0,1,1.2,0.4,-0.2,3,1,2,0,3
Karim Ansarifard,FW,IR Iran,32-256,1990,0.4,4,5,80.0,48,10,2,3,66.7,1,1,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0
Karim Boudiaf,MF,Qatar,32-090,1990,2.1,94,106,88.7,1555,406,43,49,87.8,37,42,88.1,10,11,90.9,0,0.0,0.0,0.0,0,9,0,0,5
Karl Toko Ekambi,FW,Cameroon,30-092,1992,1.8,43,53,81.1,784,115,23,27,85.2,13,13,100.0,7,10,70.0,0,0.3,0.4,-0.3,3,3,0,0,0
Karol Świderski,FW,Poland,25-326,1997,0.5,7,7,100.0,113,6,3,3,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Kasper Dolberg,FW,Denmark,25-070,1997,1.3,15,18,83.3,186,38,8,11,72.7,6,6,100.0,0,0,,0,0.1,0.0,-0.1,1,0,2,1,2
Kasper Schmeichel,GK,Denmark,36-040,1986,3.0,72,87,82.8,1830,1388,16,16,100.0,36,36,100.0,20,35,57.1,0,0.0,0.0,0.0,0,3,0,0,1
Keanu Baccus,MF,Australia,24-191,1998,1.3,26,41,63.4,479,142,11,16,68.8,9,12,75.0,4,9,44.4,0,0.0,0.0,0.0,0,2,1,0,2
Kellyn Acosta,MF,United States,27-144,1995,0.5,10,12,83.3,165,29,3,4,75.0,7,7,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Kendall Waston,DF,Costa Rica,34-348,1988,2.5,57,71,80.3,1225,437,16,19,84.2,32,35,91.4,8,15,53.3,0,0.0,0.0,0.0,0,1,0,0,0
Kenneth Taylor,MF,Netherlands,20-213,2002,0.1,8,8,100.0,112,37,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Kevin De Bruyne,FW,Belgium,31-170,1991,3.0,93,136,68.4,1807,747,38,45,84.4,40,54,74.1,15,27,55.6,0,0.9,0.8,-0.9,8,17,9,2,21
Kevin Rodríguez,FW,Ecuador,22-286,2000,0.0,,,,,,,,,,,,,,,0,,,,,,,,
Kevin Álvarez,DF,Mexico,23-334,1999,0.8,19,29,65.5,262,76,11,15,73.3,8,12,66.7,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2
Keylor Navas,GK,Costa Rica,36-000,1986,3.0,61,102,59.8,2135,1522,7,7,100.0,25,25,100.0,29,68,42.6,0,0.0,0.0,0.0,0,1,0,0,0
Keysher Fuller,DF,Costa Rica,28-157,1994,2.8,44,63,69.8,663,194,21,27,77.8,21,26,80.8,1,7,14.3,0,0.2,0.1,-0.2,1,2,0,0,1
Kieffer Moore,FW,Wales,30-129,1992,2.5,36,56,64.3,564,87,17,27,63.0,15,20,75.0,2,2,100.0,0,0.2,0.1,-0.2,4,3,1,0,3
Kieran Trippier,DF,England,32-087,1990,2.3,165,195,84.6,2930,762,80,84,95.2,68,76,89.5,16,29,55.2,0,0.1,0.2,-0.1,3,11,2,0,13
Kim Jin-su,DF,Korea Republic,30-185,1992,3.5,105,146,71.9,1901,672,47,51,92.2,44,62,71.0,11,25,44.0,1,0.6,0.6,+0.4,5,5,4,3,7
Kim Min-jae,DF,Korea Republic,26-030,1996,3.0,167,191,87.4,3337,1234,60,65,92.3,85,90,94.4,20,29,69.0,0,0.0,0.1,0.0,0,19,1,0,10
Kim Moonhwan,DF,Korea Republic,27-136,1995,4.0,201,242,83.1,3226,1077,109,117,93.2,73,93,78.5,14,19,73.7,0,0.6,0.3,-0.6,3,14,5,3,8
Kim Seung-gyu,GK,Korea Republic,32-076,1990,4.0,93,128,72.7,2291,1407,23,23,100.0,45,45,100.0,25,59,42.4,0,0.0,0.0,0.0,0,1,0,0,0
Kim Young-gwon,DF,Korea Republic,32-291,1990,3.9,178,209,85.2,3954,1720,61,65,93.8,82,87,94.3,35,56,62.5,0,0.2,0.1,-0.2,3,17,4,1,18
Kingsley Coman,FW,France,26-185,1996,1.3,50,57,87.7,689,103,31,33,93.9,17,19,89.5,2,3,66.7,0,0.1,0.2,-0.1,1,1,2,1,1
Ko Itakura,DF,Japan,25-322,1997,3.0,98,111,88.3,1860,494,32,35,91.4,55,59,93.2,11,15,73.3,1,0.1,0.0,+0.9,1,7,0,0,1
Koke,MF,Spain,30-341,1992,0.6,56,62,90.3,991,170,26,28,92.9,24,25,96.0,6,7,85.7,0,0.0,0.0,0.0,0,4,0,0,2
Krystian Bielik,MF,Poland,24-345,1998,2.4,86,99,86.9,1621,440,35,38,92.1,37,38,97.4,12,17,70.6,0,0.0,0.1,0.0,0,5,1,0,5
Krzysztof Piątek,FW,Poland,27-167,1995,0.3,2,6,33.3,35,0,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Krépin Diatta,FW,Senegal,23-293,1999,2.0,60,73,82.2,786,241,43,46,93.5,8,15,53.3,4,5,80.0,0,0.2,0.2,-0.2,3,3,3,1,6
Kudus Mohammed,FW,Ghana,22-135,2000,2.7,62,87,71.3,1060,233,28,38,73.7,23,27,85.2,9,14,64.3,0,0.0,0.1,0.0,0,4,0,0,5
Kwon Chang-hoon,FW,Korea Republic,28-168,1994,0.6,19,25,76.0,311,56,10,12,83.3,7,7,100.0,2,4,50.0,0,0.2,0.2,-0.2,1,2,1,1,1
Kwon Kyung-won,DF,Korea Republic,30-318,1992,1.0,39,43,90.7,707,216,18,18,100.0,16,19,84.2,5,5,100.0,0,0.0,0.0,0.0,0,1,0,0,2
Kye Rowles,DF,Australia,24-174,1998,4.0,165,187,88.2,3062,1025,49,52,94.2,96,105,91.4,14,18,77.8,0,0.0,0.0,0.0,0,2,0,0,1
Kyle Walker,DF,England,32-201,1990,2.6,162,181,89.5,3151,837,65,68,95.6,76,83,91.6,20,28,71.4,0,0.0,0.1,0.0,0,11,2,0,12
Kylian Mbappé,FW,France,23-360,1998,5.3,156,204,76.5,2292,566,101,113,89.4,42,52,80.8,11,22,50.0,2,1.3,1.2,+0.7,11,13,8,2,14
Lautaro Martínez,FW,Argentina,25-115,1997,2.5,41,55,74.5,529,21,28,35,80.0,11,14,78.6,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0
Lawrence Ati-Zigi,GK,Ghana,26-016,1996,3.0,54,78,69.2,1547,1137,10,10,100.0,30,30,100.0,14,38,36.8,0,0.0,0.0,0.0,0,1,1,0,0
Leander Dendoncker,DF,Belgium,27-244,1995,1.8,119,122,97.5,2213,533,40,40,100.0,72,74,97.3,7,7,100.0,0,0.4,0.3,-0.4,1,6,0,0,10
Leandro Paredes,MF,Argentina,28-169,1994,2.3,214,230,93.0,3414,1169,104,108,96.3,94,100,94.0,11,15,73.3,0,0.0,0.1,0.0,2,15,1,0,9
Leandro Trossard,FW,Belgium,28-011,1994,1.1,43,57,75.4,822,144,21,26,80.8,16,21,76.2,6,7,85.7,0,0.1,0.0,-0.1,2,4,0,0,3
Lee Jae-sung,MF,Korea Republic,30-127,1992,2.3,84,97,86.6,1285,170,41,49,83.7,35,37,94.6,6,7,85.7,0,0.0,0.1,0.0,2,4,0,0,0
Lee Kangin,MF,Korea Republic,21-299,2001,1.6,62,77,80.5,1225,297,22,24,91.7,28,30,93.3,10,20,50.0,1,0.3,0.3,+0.7,4,6,6,1,11
Leon Goretzka,MF,Germany,27-312,1995,1.8,42,57,73.7,552,132,24,28,85.7,11,15,73.3,2,4,50.0,0,0.0,0.1,0.0,1,3,0,0,1
Leroy Sané,FW,Germany,26-338,1996,1.2,47,58,81.0,647,273,22,28,78.6,15,16,93.8,2,3,66.7,1,1.8,1.9,-0.8,4,6,6,1,9
Liam Millar,DF,Canada,23-079,1999,0.1,4,9,44.4,51,23,2,3,66.7,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Lionel Messi,FW,Argentina,35-174,1987,6.3,253,311,81.4,3694,1212,145,156,92.9,80,94,85.1,19,34,55.9,3,2.2,1.6,+0.8,18,32,15,0,39
Lisandro Martínez,DF,Argentina,24-331,1998,3.4,133,156,85.3,2311,821,63,70,90.0,57,64,89.1,13,21,61.9,0,0.7,0.0,-0.7,1,11,1,0,6
Lovro Majer,MF,Croatia,24-332,1998,0.7,55,66,83.3,792,189,32,35,91.4,17,20,85.0,2,5,40.0,0,0.0,0.0,0.0,0,4,1,1,2
Loïs Openda,FW,Belgium,22-302,2000,0.1,3,5,60.0,38,0,2,2,100.0,1,1,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Lucas Cavallini,FW,Canada,29-352,1992,0.2,2,2,100.0,36,15,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,1,0
Lucas Hernández,DF,France,26-304,1996,0.1,5,10,50.0,66,16,4,7,57.1,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0
Lucas Paquetá,MF,Brazil,25-110,1997,3.5,169,202,83.7,2578,622,81,93,87.1,69,77,89.6,10,15,66.7,1,1.5,0.6,-0.5,6,16,9,1,15
Luis Chávez,MF,Mexico,26-334,1996,3.0,99,139,71.2,2026,724,45,57,78.9,34,46,73.9,18,32,56.3,0,0.5,0.8,-0.5,4,21,2,2,11
Luis Suárez,FW,Uruguay,35-325,1987,1.6,25,40,62.5,301,97,19,25,76.0,3,6,50.0,1,4,25.0,1,0.1,0.1,+0.9,1,2,1,0,2
Luka Jović,FW,Serbia,24-357,1997,0.4,6,10,60.0,115,4,3,5,60.0,2,3,66.7,1,2,50.0,0,0.2,0.1,-0.2,2,0,0,0,0
Luka Modrić,MF,Croatia,37-097,1985,6.3,403,481,83.8,6723,2513,201,215,93.5,146,169,86.4,40,65,61.5,0,0.7,0.8,-0.7,6,45,10,3,52
Lukas Klostermann,DF,Germany,26-195,1996,0.7,51,52,98.1,776,274,30,31,96.8,18,18,100.0,3,3,100.0,0,0.0,0.1,0.0,0,2,1,0,4
Luke Shaw,DF,England,27-156,1995,4.7,335,400,83.8,5392,1662,165,179,92.2,144,159,90.6,20,41,48.8,1,0.8,0.9,+0.2,8,23,9,4,31
Luuk de Jong,FW,Netherlands,32-110,1990,0.6,8,12,66.7,116,36,5,6,83.3,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Majid Hosseini,DF,IR Iran,26-178,1996,3.0,86,106,81.1,1791,524,28,33,84.8,42,47,89.4,14,21,66.7,0,0.0,0.0,0.0,0,3,0,0,3
Manuel Akanji,DF,Switzerland,27-149,1995,4.0,229,259,88.4,4725,1829,71,78,91.0,124,134,92.5,32,42,76.2,0,0.1,0.1,-0.1,1,15,0,0,14
Manuel Neuer,GK,Germany,36-263,1986,3.0,115,127,90.6,2729,1737,27,27,100.0,51,53,96.2,36,46,78.3,0,0.0,0.0,0.0,0,0,0,0,0
Marcelo Brozović,MF,Croatia,30-029,1992,6.1,466,530,87.9,7429,1726,253,279,90.7,151,167,90.4,48,54,88.9,0,0.2,0.2,-0.2,5,31,1,0,25
Marco Asensio,FW,Spain,26-328,1996,2.5,89,119,74.8,1262,150,50,59,84.7,26,35,74.3,5,8,62.5,0,0.1,0.1,-0.1,2,4,3,0,5
Marcos Acuña,DF,Argentina,31-048,1991,3.5,148,189,78.3,2382,572,86,101,85.1,53,62,85.5,8,18,44.4,0,0.1,0.2,-0.1,3,6,1,0,3
Marcos Llorente,DF,Spain,27-319,1995,1.3,95,106,89.6,1708,271,41,44,93.2,40,43,93.0,12,14,85.7,0,0.0,0.0,0.0,0,9,0,0,6
Marcus Rashford,FW,England,25-045,1997,1.6,49,66,74.2,677,91,32,39,82.1,15,20,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,1
Marcus Thuram,FW,France,25-131,1997,0.8,15,20,75.0,169,24,14,17,82.4,1,3,33.3,0,0,,1,0.1,0.1,+0.9,3,0,2,0,2
Mario Götze,MF,Germany,30-195,1992,0.4,21,23,91.3,240,83,15,15,100.0,4,4,100.0,0,0,,0,0.1,0.1,-0.1,2,1,2,2,1
Mario Pašalić,FW,Croatia,27-309,1995,2.7,69,85,81.2,1016,311,38,41,92.7,23,28,82.1,4,6,66.7,0,0.2,0.2,-0.2,1,2,1,1,5
Mark-Anthony Kaye,MF,Canada,28-013,1994,0.7,51,61,83.6,834,112,23,30,76.7,23,24,95.8,3,5,60.0,0,0.0,0.0,0.0,0,1,0,0,1
Marko Grujić,MF,Serbia,26-246,1996,0.1,14,17,82.4,230,62,4,5,80.0,8,9,88.9,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2
Marko Livaja,FW,Croatia,29-111,1993,2.0,26,45,57.8,368,90,12,19,63.2,11,15,73.3,1,2,50.0,0,0.0,0.1,0.0,1,2,3,0,6
Marquinhos,DF,Brazil,28-215,1994,4.7,352,368,95.7,6124,1913,139,140,99.3,197,204,96.6,12,18,66.7,0,0.8,1.1,-0.8,4,36,3,1,18
Marten de Roon,MF,Netherlands,31-261,1991,2.0,97,119,81.5,1560,332,49,57,86.0,41,52,78.8,5,5,100.0,0,0.0,0.0,0.0,0,8,0,0,3
Martin Braithwaite,FW,Denmark,31-193,1991,1.1,14,20,70.0,207,32,6,7,85.7,5,5,100.0,1,1,100.0,0,0.1,0.1,-0.1,3,0,1,0,1
Martin Hongla,MF,Cameroon,24-274,1998,1.3,49,61,80.3,839,266,24,28,85.7,20,24,83.3,4,6,66.7,0,0.1,0.1,-0.1,2,7,1,0,3
Martinelli,FW,Brazil,21-180,2001,1.3,34,45,75.6,471,103,22,28,78.6,11,13,84.6,0,2,0.0,0,0.2,0.3,-0.2,3,3,2,1,2
Martín Cáceres,DF,Uruguay,35-252,1987,1.0,68,79,86.1,1289,320,22,25,88.0,35,39,89.7,10,13,76.9,0,0.0,0.0,0.0,0,5,0,0,2
Mason Mount,MF,England,23-339,1999,2.1,61,73,83.6,1031,212,36,42,85.7,19,22,86.4,6,7,85.7,0,0.0,0.1,0.0,1,3,1,0,4
Mateo Kovačić,MF,Croatia,28-223,1994,6.1,353,391,90.3,5083,1093,209,220,95.0,115,125,92.0,15,23,65.2,0,1.0,1.2,-1.0,8,39,6,0,25
Matheus Nunes,MF,Portugal,24-110,1998,0.8,28,33,84.8,534,94,14,16,87.5,9,9,100.0,5,7,71.4,0,0.1,0.0,-0.1,1,2,0,0,0
Mathew Leckie,MF,Australia,31-314,1991,3.7,67,103,65.0,791,268,43,54,79.6,16,24,66.7,1,4,25.0,1,0.3,0.0,+0.7,2,8,1,0,7
Mathew Ryan,GK,Australia,30-251,1992,4.0,113,164,68.9,3668,2579,13,13,100.0,46,46,100.0,54,105,51.4,0,0.0,0.0,0.0,0,1,0,0,0
Mathias Jensen,MF,Denmark,26-348,1996,0.9,52,67,77.6,871,249,28,33,84.8,16,18,88.9,6,13,46.2,0,0.4,0.1,-0.4,4,7,2,0,4
Mathías Olivera,DF,Uruguay,25-045,1997,2.8,104,133,78.2,1495,574,69,78,88.5,24,34,70.6,6,9,66.7,0,0.4,0.5,-0.4,5,7,4,2,7
Matt Turner,GK,United States,28-174,1994,4.0,101,128,78.9,2504,1748,26,26,100.0,50,51,98.0,24,50,48.0,0,0.0,0.0,0.0,0,2,0,0,0
Matthias Ginter,DF,Germany,28-330,1994,0.0,3,3,100.0,52,42,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Matthijs de Ligt,DF,Netherlands,23-125,1999,1.0,41,45,91.1,846,264,14,16,87.5,18,19,94.7,9,9,100.0,0,0.0,0.0,0.0,0,4,0,0,2
Matty Cash,DF,Poland,25-130,1997,4.0,123,160,76.9,1995,696,65,71,91.5,51,64,79.7,6,17,35.3,0,0.2,0.5,-0.2,2,12,2,2,8
Mattéo Guendouzi,FW,France,23-245,1999,0.9,27,33,81.8,399,79,17,21,81.0,9,9,100.0,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,1
Matías Vecino,MF,Uruguay,31-113,1991,2.2,76,106,71.7,1189,296,42,54,77.8,23,33,69.7,8,8,100.0,0,0.0,0.0,0.0,0,8,0,0,9
Matías Viña,DF,Uruguay,25-036,1997,0.2,11,21,52.4,148,44,6,9,66.7,5,8,62.5,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Maxi Gómez,FW,Uruguay,26-123,1996,0.3,5,7,71.4,85,9,1,2,50.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
Maya Yoshida,DF,Japan,34-113,1988,4.3,198,232,85.3,3969,1370,64,69,92.8,108,114,94.7,25,45,55.6,1,0.4,0.0,+0.6,1,3,0,0,6
Mehdi Taremi,FW,IR Iran,30-150,1992,3.0,58,78,74.4,956,157,22,29,75.9,26,32,81.3,6,8,75.0,1,0.7,0.1,+0.3,9,8,0,0,4
Mehdi Torabi,MF,IR Iran,28-096,1994,0.7,30,37,81.1,421,168,19,21,90.5,9,12,75.0,1,1,100.0,0,0.6,0.2,-0.6,3,5,0,0,6
Memphis,FW,Netherlands,28-305,1994,3.3,93,123,75.6,1277,233,58,68,85.3,21,30,70.0,7,10,70.0,0,0.5,0.4,-0.5,3,6,2,0,4
Meshaal Barsham,GK,Qatar,24-304,1998,2.0,45,63,71.4,968,715,15,15,100.0,15,16,93.8,11,27,40.7,0,0.0,0.0,0.0,1,0,0,0,0
Michael Estrada,FW,Ecuador,26-252,1996,2.5,28,50,56.0,480,138,13,22,59.1,11,16,68.8,3,4,75.0,0,0.0,0.4,0.0,1,6,2,0,7
Michał Skóraś,MF,Poland,22-303,2000,0.5,8,9,88.9,127,4,1,2,50.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Michel Aebischer,MF,Switzerland,25-343,1997,0.2,2,4,50.0,23,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Michy Batshuayi,FW,Belgium,29-074,1993,1.7,16,24,66.7,223,27,11,16,68.8,1,3,33.3,3,3,100.0,0,0.1,0.0,-0.1,1,1,0,0,1
Miki Yamane,DF,Japan,28-358,1993,0.7,24,33,72.7,371,164,12,12,100.0,11,17,64.7,1,2,50.0,0,0.1,0.1,-0.1,1,4,2,0,5
Mikkel Damsgaard,MF,Denmark,22-165,2000,1.7,55,72,76.4,833,251,32,40,80.0,16,21,76.2,4,7,57.1,0,0.3,0.2,-0.3,2,9,3,2,5
Milad Mohammadi,DF,IR Iran,29-077,1993,2.2,44,68,64.7,674,283,20,21,95.2,19,29,65.5,2,8,25.0,0,0.0,0.0,0.0,0,1,0,0,2
Milan Borjan,GK,Canada,35-053,1987,3.0,76,98,77.6,1825,1254,19,19,100.0,39,40,97.5,18,38,47.4,0,0.0,0.0,0.0,0,1,0,0,0
Miloš Degenek,DF,Australia,28-231,1994,2.0,67,101,66.3,1236,532,28,33,84.8,33,45,73.3,6,19,31.6,0,0.0,0.0,0.0,0,3,0,0,2
Miloš Veljković,DF,Serbia,27-080,1995,2.5,98,112,87.5,2106,647,18,20,90.0,68,70,97.1,11,17,64.7,0,0.0,0.0,0.0,0,1,0,0,3
Mislav Oršić,FW,Croatia,29-351,1992,0.8,20,26,76.9,222,70,16,18,88.9,4,6,66.7,0,1,0.0,2,0.8,0.3,+1.2,4,1,0,0,1
Mitchell Duke,FW,Australia,31-331,1991,3.0,36,63,57.1,448,117,23,33,69.7,7,16,43.8,2,4,50.0,0,0.0,0.0,0.0,1,2,0,0,1
Mohamed Ali Ben Romdhane,MF,Tunisia,23-100,1999,0.8,14,21,66.7,217,22,7,11,63.6,7,7,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0
Mohamed Dräger,DF,Tunisia,26-173,1996,1.5,36,50,72.0,678,265,12,16,75.0,19,23,82.6,5,9,55.6,0,0.0,0.1,0.0,1,1,1,1,4
Mohamed Kanno,MF,Saudi Arabia,28-084,1994,3.0,119,147,81.0,1814,535,61,72,84.7,40,45,88.9,9,15,60.0,0,0.0,0.1,0.0,0,15,2,0,11
Mohammed Al-Breik,DF,Saudi Arabia,30-091,1992,0.7,39,48,81.3,627,254,22,25,88.0,13,14,92.9,3,8,37.5,0,0.0,0.1,0.0,1,5,1,0,6
Mohammed Al-Owais,GK,Saudi Arabia,31-066,1991,3.0,57,100,57.0,1829,1286,7,7,100.0,29,29,100.0,21,64,32.8,0,0.0,0.0,0.0,0,0,0,0,0
Mohammed Muntari,FW,Qatar,28-360,1993,0.7,17,19,89.5,209,25,6,7,85.7,7,8,87.5,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Mohammed Salisu,DF,Ghana,23-242,1999,3.0,109,151,72.2,1864,846,51,57,89.5,49,60,81.7,8,31,25.8,0,0.2,0.3,-0.2,2,8,1,0,8
Mohammed Waad,MF,Qatar,23-088,1999,0.3,9,12,75.0,185,28,6,8,75.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Moisés Caicedo,MF,Ecuador,21-043,2001,3.0,126,153,82.4,1613,417,83,95,87.4,36,43,83.7,1,5,20.0,0,0.0,0.0,0.0,0,12,1,0,7
Montassar Talbi,DF,Tunisia,24-203,1998,3.0,118,137,86.1,2488,843,29,35,82.9,76,82,92.7,12,18,66.7,0,0.0,0.0,0.0,0,11,2,0,11
Morteza Pouraliganji,DF,IR Iran,30-240,1992,3.0,92,128,71.9,1965,685,18,26,69.2,60,71,84.5,13,27,48.1,0,0.2,0.2,-0.2,2,6,1,0,7
Moumi Ngamaleu,FW,Cameroon,28-159,1994,1.1,21,25,84.0,286,91,14,15,93.3,7,9,77.8,0,0,,0,0.2,0.1,-0.2,1,3,0,0,2
Munir,GK,Morocco,33-219,1989,1.0,19,28,67.9,597,413,2,2,100.0,10,10,100.0,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0,0
Musab Kheder,DF,Qatar,29-080,1993,0.1,3,3,100.0,89,30,0,0,,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Na Sang-ho,FW,Korea Republic,26-125,1996,1.3,24,37,64.9,375,68,13,16,81.3,8,10,80.0,2,4,50.0,0,0.1,0.1,-0.1,3,2,2,1,2
